participantID,trialNumber,response,correctness,startTimestamp,endTimestamp,reactionTime,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
3,38,left,False,2024-06-24 15:45:50.903,2024-06-24 15:46:10.433,19.53,89,right,12000,24000,V
3,39,right,False,2024-06-24 15:46:32.504,2024-06-24 15:46:51.499,18.995,31,left,12000,24000,V
3,40,left,False,2024-06-24 15:47:13.571,2024-06-24 15:47:28.716,15.145,33,right,12000,24000,V
3,41,right,True,2024-06-24 15:47:50.768,2024-06-24 15:47:59.716,8.948,95,right,12000,24000,V
3,42,left,True,2024-06-24 15:48:21.785,2024-06-24 15:48:31.499,9.714,71,left,12000,24000,V
3,43,left,True,2024-06-24 15:48:53.568,2024-06-24 15:49:01.499,7.931,67,left,12000,24000,V
3,44,right,True,2024-06-24 15:49:23.554,2024-06-24 15:49:36.199,12.645,27,right,12000,24000,V
3,45,left,True,2024-06-24 15:49:58.271,2024-06-24 15:50:07.033,8.762,25,left,12000,24000,V
3,46,left,True,2024-06-24 15:50:29.102,2024-06-24 15:50:40.799,11.697,53,left,12000,24000,V
3,47,left,False,2024-06-24 15:51:02.869,2024-06-24 15:51:22.900,20.031,87,right,12000,24000,V
3,48,left,True,2024-06-24 15:51:44.969,2024-06-24 15:51:53.350,8.381,91,left,12000,24000,V
3,49,left,True,2024-06-24 16:00:26.661,2024-06-24 16:00:31.784,5.123,13,left,12000,24000,V
3,50,right,True,2024-06-24 16:00:53.854,2024-06-24 16:01:01.617,7.763,37,right,12000,24000,V
3,51,right,True,2024-06-24 16:01:23.688,2024-06-24 16:01:32.584,8.896,83,right,12000,24000,V
3,52,left,True,2024-06-24 16:01:54.654,2024-06-24 16:02:01.117,6.463,73,left,12000,24000,V
3,53,right,True,2024-06-24 16:02:23.171,2024-06-24 16:02:37.750,14.579,17,right,12000,24000,V
3,54,right,True,2024-06-24 16:02:59.819,2024-06-24 16:03:15.084,15.265,1,right,12000,24000,V
3,55,right,False,2024-06-24 16:03:37.137,2024-06-24 16:03:56.617,19.48,63,left,12000,24000,V
3,56,right,True,2024-06-24 16:04:18.689,2024-06-24 16:04:32.700,14.011,29,right,12000,24000,V
3,57,left,True,2024-06-24 16:04:54.757,2024-06-24 16:05:06.900,12.143,43,left,12000,24000,V
